a
Black Charlatan
Bloody Vengeance
Blue Nixie
Boundless Desolation
Cursed Sea Dog
Defeated Sanity
Devil’s Maw
Dragons Black Plunder
Drowned Whale
Edinburgh Trader
Greasy Fleece
Grenouille Frénétique
Hangman’s Daughter
Iron Teeth
Jackdaw
Last Argument
Maiden’s Blood
Mourning Star
Scourge of the Seven Seas
Sea Hag
Tyranny of Evil Men
Walrus
Wicked Wench
Woe Of Tyrants
Staunch Harlot
Strangling Tentacle
Hades Executioner
Hopeless
Killers Disgrace
Misery
Ulgy Kraken
Soulless Dragon
Royal Pearl
Deadly Squid
Neptune’s Teeth
Hellish Shark
Barbaric Ghost
Lost Mayflower
Pretty Coral
Dreaming Wave
Tainted Dragon
Scurvy Wave
Damned Night
Squid Blaster
Rusty Cannon
Red Tsunami
Fallen Captain
Damp Queen
